name,calibration,val_threshold,test_acc,test_precision,test_recall,test_f1,test_fpr,test_fnr,test_tn,test_fp,test_fn,test_tp,test_auc,test_ece,test_brier,test_peak_mem_mb,ext_auc,ext_acc,ext_precision,ext_recall,ext_f1,ext_fpr,ext_fnr,ext_tn,ext_fp,ext_fn,ext_tp,ext_ece,ext_brier,ext_peak_mem_mb
Word only + calibration,True,0.56,0.991345397324941,0.9918367346938776,0.9642857142857143,0.9778672032193159,0.001962708537782139,0.03571428571428571,1017,2,9,243,0.9997546614327772,0.00747947687420529,0.004863856237069868,4.5392560958862305,0.8849419999999999,0.6995,0.642806012884753,0.898,0.7492699207342511,0.499,0.102,501,499,102,898,0.27627061627377064,0.23403737031350808,0.9347639083862305
Word only no calibration,False,0.71,0.99213217938631,0.9959016393442623,0.9642857142857143,0.9798387096774194,0.0009813542688910696,0.03571428571428571,1018,1,9,243,0.9997546614327772,0.048285361678536164,0.010722904103762716,4.515810966491699,0.8849419999999999,0.6995,0.642806012884753,0.898,0.7492699207342511,0.499,0.102,501,499,102,898,0.32066279621818716,0.25125708991682216,0.9005155563354492
Word+Struct + calibration,True,0.56,0.991345397324941,0.9878542510121457,0.9682539682539683,0.9779559118236473,0.002944062806673209,0.031746031746031744,1016,3,8,244,0.9996806704363133,0.006533742520266496,0.006267274111402786,8.41527271270752,0.89554,0.748,0.6907692307692308,0.898,0.7808695652173913,0.402,0.102,598,402,102,898,0.24657884396000865,0.19401190482567204,1.7769479751586914
Word+Struct no calibration,False,0.65,0.990558615263572,0.9878048780487805,0.9642857142857143,0.9759036144578314,0.002944062806673209,0.03571428571428571,1016,3,9,243,0.9996806704363133,0.04268440206401319,0.010924969719595837,8.392111778259277,0.89554,0.748,0.6907692307692308,0.898,0.7808695652173913,0.402,0.102,598,402,102,898,0.2574842985893322,0.20449818058786745,1.7427663803100586
