strategy,val_thr,test_acc,test_precision,test_recall,test_f1,test_fpr,test_fnr,ext_thr,ext_acc,ext_precision,ext_recall,ext_f1,ext_fpr,ext_fnr
Imbalanced,0.58,0.988198269079465,0.9721115537848606,0.9682539682539683,0.9701789264413518,0.0068694798822374874,0.031746031746031744,0.58,0.748,0.6907692307692308,0.898,0.7808695652173913,0.402,0.102
RandomUndersampling,0.65,0.9669551534225019,0.9605263157894737,0.8690476190476191,0.9125,0.008832188420019628,0.13095238095238096,0.65,0.6965,0.6222775357809583,1.0,0.7671653241273494,0.607,0.0
RandomOversampling,0.74,0.9472856018882769,0.8969957081545065,0.8293650793650794,0.8618556701030928,0.023552502453385672,0.17063492063492064,0.74,0.8485,0.8171064604185623,0.898,0.8556455454978561,0.201,0.102
